Date,ball1,ball2,ball3,ball4,ball5,ball6
16.12.06,24,51,56,64,65,73
16.12.10,54,65,66,68,70,85
16.12.12,6,39,52,65,68,86
16.12.13,17,21,35,48,60,76
16.12.15,9,30,31,53,67,86
16.12.17,7,15,31,39,41,45
16.12.20,10,11,29,47,58,73
16.12.22,14,23,24,44,77,86
16.12.24,1,19,21,32,48,86
16.12.27,13,25,30,57,58,64
16.12.29,31,33,38,58,76,85
16.12.31,12,14,18,22,28,33
17.01.03,9,12,27,32,45,77
17.01.05,1,7,21,27,39,78
17.01.07,2,8,62,79,81,88
17.01.10,1,9,22,25,58,84
17.01.12,14,16,30,34,52,73
17.01.14,12,17,24,45,67,84
17.01.17,16,44,49,57,60,81
17.01.19,32,51,74,79,80,81
17.01.21,6,55,63,68,76,80
17.01.24,63,67,74,77,83,85
17.01.26,43,48,49,51,60,75
17.01.28,9,13,15,51,73,74
17.01.31,14,15,16,43,49,77
17.02.02,11,27,56,57,64,66
17.02.04,13,18,34,51,62,81
17.02.07,2,21,38,74,79,83
17.02.09,18,25,35,38,45,75
17.02.11,6,9,11,32,63,83
17.02.14,9,14,19,35,48,65
17.02.16,13,17,26,33,60,78
17.02.18,7,13,24,36,37,86
17.02.21,4,22,36,60,66,90
17.02.23,9,11,21,37,86,90
17.02.25,11,17,40,69,84,85
17.02.28,19,22,44,45,71,76
17.03.02,34,37,52,58,65,89
17.03.04,2,11,26,51,64,87
17.03.07,8,19,28,33,71,89
17.03.09,4,17,39,40,50,58
17.03.11,3,6,46,48,63,76
17.03.14,16,21,53,74,79,80
17.03.16,16,21,31,62,69,85
17.03.18,14,41,60,74,79,80
17.03.21,32,35,58,63,76,79
17.03.23,25,39,48,74,86,89
17.03.25,3,50,60,64,85,86
17.03.28,3,6,20,54,72,90
17.03.30,5,16,40,70,74,76
17.04.01,8,46,68,70,76,86
17.04.04,3,16,29,34,37,57
17.04.06,15,16,21,24,53,89
17.04.08,4,6,27,76,80,86
17.04.11,5,57,59,69,81,86
17.04.13,16,24,56,69,85,87
17.04.15,6,20,35,36,55,59
17.04.18,18,29,52,74,76,88
17.04.20,3,14,52,67,72,82
17.04.22,1,4,9,10,36,79
17.04.24,8,17,28,35,74,82
17.04.27,8,27,54,62,82,83
17.04.29,8,14,25,41,79,84
17.05.02,28,43,59,60,78,80
17.05.04,15,20,33,39,65,75
17.05.06,57,60,73,77,82,86
17.05.09,3,25,63,70,75,78
17.05.11,19,37,45,51,82,83
17.05.13,4,15,21,22,44,77
17.05.16,29,38,75,79,80,90
17.05.18,1,19,47,61,70,87
17.05.20,6,37,46,53,73,78
17.05.23,10,18,23,34,61,75
17.05.25,10,33,40,42,46,77
17.05.27,16,34,57,64,65,78
17.05.30,21,26,35,59,66,70
17.06.01,7,15,27,37,56,58
17.06.03,2,22,36,77,83,90
17.06.06,7,12,26,46,56,70
17.06.08,11,28,32,48,54,59
17.06.10,19,54,56,57,67,69
17.06.13,41,50,69,71,77,81
17.06.15,6,24,28,32,78,83
17.06.17,45,48,71,75,80,83
17.06.20,38,46,54,76,82,86
17.06.22,9,18,24,42,59,71
17.06.24,2,18,20,23,30,75
17.06.27,9,14,62,64,78,82
17.06.29,16,19,38,40,58,79
17.07.01,15,20,45,59,81,85
17.07.04,21,37,58,75,81,85
17.07.06,36,37,46,48,51,74
17.07.08,6,8,32,54,80,82
17.07.11,6,12,38,42,49,83
17.07.13,2,11,26,62,74,78
17.07.15,27,37,44,47,73,86
17.07.18,17,34,42,47,75,85
17.07.20,22,32,45,60,61,80
17.07.22,6,22,26,33,51,88
17.07.25,4,29,30,47,52,59
17.07.27,5,15,52,60,77,84
17.07.29,5,11,58,75,78,81
17.08.01,1,8,28,54,82,90
17.08.03,20,25,39,49,69,71
17.08.05,14,19,50,69,75,90
17.08.08,17,24,33,41,63,66
17.08.10,3,5,24,41,48,80
17.08.12,6,17,32,40,44,67
17.08.14,34,44,46,47,64,88
17.08.17,22,28,46,52,69,86
17.08.19,18,29,34,47,48,60
17.08.22,34,46,50,52,67,86
17.08.24,40,45,54,72,85,88
17.08.26,28,29,36,54,55,68
17.08.29,21,23,54,73,84,88
17.08.31,5,29,32,33,72,89
17.09.02,2,49,57,60,71,77
17.09.05,7,12,66,68,73,76
17.09.07,11,29,64,68,70,85
17.09.09,29,39,49,56,83,85
17.09.12,7,10,25,26,37,68
17.09.14,18,25,29,30,33,69
17.09.16,22,35,36,55,63,86
17.09.19,38,45,46,55,65,73
17.09.21,13,16,27,48,67,77
17.09.23,8,46,48,69,72,81
17.09.26,13,18,19,46,58,60
17.09.28,6,15,39,68,80,89
17.09.30,7,12,21,22,39,90
17.10.03,6,21,38,48,79,90
17.10.05,14,33,48,61,65,80
17.10.07,14,17,35,37,55,83
17.10.10,4,26,52,65,66,72
17.10.12,9,16,19,35,41,59
17.10.14,2,13,50,75,85,90
17.10.17,10,17,30,55,62,78
17.10.19,16,17,58,66,71,72
17.10.21,21,22,31,32,33,81
17.10.24,6,45,47,61,74,80
17.10.26,14,38,43,57,65,72
17.10.28,7,11,17,28,32,79
17.10.31,19,24,35,69,80,89
17.11.02,11,31,46,48,65,68
17.11.04,6,7,8,38,45,78
17.11.07,2,6,34,69,77,86
17.11.09,8,12,41,42,46,51
17.11.11,16,31,33,51,75,80
17.11.14,1,11,40,45,46,57
17.11.16,2,12,16,26,51,73
17.11.18,3,16,24,27,44,88
17.11.21,32,40,41,47,56,72
17.11.23,14,38,40,51,53,64
17.11.25,16,20,22,42,54,62
17.11.28,27,28,48,61,87,88
17.11.30,5,17,19,33,43,63
17.12.02,4,12,25,27,35,69
17.12.05,10,34,45,63,81,83
17.12.07,14,15,65,68,82,85
17.12.09,21,24,48,51,60,82
17.12.12,2,30,44,52,58,69
17.12.14,25,33,39,59,72,74
17.12.16,3,7,53,65,66,73
17.12.18,24,55,71,73,85,90
17.12.19,22,39,43,65,77,89
17.12.21,12,25,50,59,67,88
17.12.23,35,39,48,71,88,89
17.12.28,10,28,33,43,50,80
17.12.30,6,17,23,46,52,53
18.01.02,1,19,26,44,61,89
18.01.04,5,19,28,43,58,82
18.01.08,15,18,24,33,48,64
18.01.09,8,69,70,84,88,90
18.01.11,3,25,28,37,71,82
18.01.13,2,10,41,49,56,71
18.01.16,9,29,51,53,74,76
18.01.18,29,43,46,50,85,86
18.01.20,27,48,50,74,76,84
18.01.23,2,5,24,32,47,62
18.01.25,15,38,48,52,66,71
18.01.27,5,24,68,72,78,85
18.01.30,22,39,47,49,77,89
18.02.01,20,45,51,63,85,89
18.02.03,1,8,19,28,34,87
18.02.06,4,8,16,35,36,74
18.02.08,24,25,30,43,47,90
18.02.10,7,31,35,57,88,89
18.02.13,3,11,38,53,70,71
18.02.15,5,17,34,40,78,82
18.02.17,5,17,37,40,55,79
18.02.20,17,25,52,55,67,75
18.02.22,9,40,45,70,76,81
18.02.24,10,44,48,62,68,83
18.02.27,48,56,66,83,86,89
18.03.01,9,23,57,72,77,82
18.03.03,2,19,62,74,81,83
18.03.06,12,36,45,46,67,75
18.03.08,22,50,52,65,66,89
18.03.10,11,15,42,64,82,84
18.03.13,19,33,42,65,78,85
18.03.15,2,13,17,31,45,69
18.03.17,7,35,52,85,88,90
18.03.20,9,20,33,43,44,48
18.03.22,20,23,29,37,39,72
18.03.24,2,24,42,62,66,81
18.03.27,10,16,35,63,73,83
18.03.29,11,15,32,35,52,56
18.03.31,1,6,7,9,45,79
18.04.03,30,45,47,49,71,90
18.04.05,7,27,55,63,73,77
18.04.07,3,20,47,55,81,83
18.04.10,27,35,46,68,72,82
18.04.12,8,28,34,38,47,54
18.04.14,1,10,31,44,58,80
18.04.17,12,23,39,54,72,73
18.04.19,5,17,20,44,62,80
18.04.21,11,43,68,72,79,85
18.04.24,31,41,44,67,75,82
18.04.26,44,52,64,66,67,71
18.04.28,2,25,41,42,74,87
18.04.30,6,10,26,47,60,75
18.05.03,9,19,31,39,77,82
18.05.05,6,14,19,59,79,81
18.05.08,17,18,41,57,58,75
18.05.10,41,62,77,79,81,84
18.05.12,29,49,50,56,64,78
18.05.15,3,10,38,52,65,71
18.05.17,16,33,34,74,79,80
18.05.19,40,51,55,56,74,81
18.05.22,12,13,19,37,62,72
18.05.24,1,27,31,58,83,87
18.05.26,20,27,32,55,69,90
18.05.29,19,28,42,49,68,83
18.05.31,9,57,64,66,69,86
18.06.04,45,56,66,74,77,88
18.06.05,6,10,11,21,71,75
18.06.07,33,39,47,64,67,76
18.06.09,13,32,41,51,61,86
18.06.12,1,12,31,33,44,50
18.06.14,5,37,51,65,79,81
18.06.16,2,9,15,22,47,65
18.06.19,1,7,25,40,68,75
18.06.21,6,11,37,42,58,62
18.06.23,4,17,29,55,67,70
18.06.26,2,6,37,39,51,86
18.06.28,28,36,55,76,81,89
18.06.30,9,13,23,32,45,54
18.07.03,28,33,38,41,66,72
18.07.05,11,19,27,41,61,83
18.07.07,3,51,55,64,77,79
18.07.10,27,41,50,60,63,81
18.07.12,3,13,18,24,74,89
18.07.14,2,9,14,19,27,77
18.07.17,30,35,44,60,72,76
18.07.19,11,38,47,71,76,77
18.07.21,22,36,38,56,59,67
18.07.24,7,29,37,43,72,79
18.07.26,21,34,53,72,80,84
18.07.28,10,19,47,67,68,75
18.07.31,23,32,49,53,61,85
18.08.02,5,6,41,44,65,74
18.08.04,23,39,53,56,64,84
18.08.07,11,18,21,23,55,66
18.08.09,31,32,46,54,73,90
18.08.11,14,57,73,79,82,84
18.08.14,21,43,45,57,67,83
18.08.16,2,10,12,21,22,50
18.08.18,7,14,27,66,70,81
18.08.21,2,16,30,39,51,79
18.08.23,14,23,32,34,40,80
18.08.25,42,44,54,68,69,81
18.08.28,1,26,39,43,73,89
18.08.30,16,28,29,55,63,69
18.09.01,1,4,19,23,55,68
18.09.04,18,25,47,51,70,83
18.09.06,2,23,34,52,76,87
18.09.08,7,25,32,39,59,86
18.09.11,59,61,63,65,71,84
18.09.13,16,23,29,49,57,76
18.09.15,3,26,34,61,84,87
18.09.18,2,24,31,42,47,55
18.09.20,15,18,56,67,72,74
18.09.22,12,16,29,45,82,85
18.09.25,17,24,57,64,70,89
18.09.27,21,37,46,56,65,77
18.09.29,34,54,77,80,81,87
18.10.02,3,7,18,47,64,82
18.10.04,15,30,72,79,86,90
18.10.06,27,28,33,75,77,78
18.10.09,10,36,49,53,77,85
18.10.11,20,23,39,50,62,68
18.10.13,14,36,39,46,55,59
18.10.16,8,13,25,50,65,72
18.10.18,16,23,50,73,80,88
18.10.20,4,14,27,38,89,90
18.10.23,6,30,49,56,64,81
18.10.25,10,21,24,26,29,89
18.10.27,3,12,35,51,59,80
18.10.30,38,40,43,59,67,72
18.11.03,23,35,40,79,86,87
18.11.05,8,36,39,40,48,50
18.11.06,4,16,24,42,51,84
18.11.08,11,15,20,27,45,59
18.11.10,9,15,20,46,50,84
18.11.13,7,15,22,31,46,50
18.11.15,6,12,34,36,40,66
18.11.17,3,5,38,53,54,82
18.11.20,3,9,43,48,61,83
18.11.22,15,24,28,34,56,73
18.11.24,30,38,63,68,77,80
18.11.27,6,12,15,30,31,89
18.11.29,6,22,27,36,62,76
18.12.01,7,16,33,54,80,84
18.12.04,6,31,37,47,71,78
18.12.06,10,30,44,45,47,49
18.12.10,7,37,52,73,87,88
18.12.11,6,17,32,38,47,90
18.12.13,7,9,12,21,30,41
18.12.15,5,23,36,42,47,79
18.12.18,39,61,68,69,70,86
18.12.20,11,49,58,71,76,89
18.12.22,4,14,16,51,64,88
18.12.24,12,19,36,42,77,87
18.12.27,36,43,44,49,78,82
18.12.29,24,37,46,49,62,71
19.01.03,1,35,52,56,64,70
19.01.05,46,52,55,68,76,89
19.01.07,3,8,28,45,55,58
19.01.08,23,34,38,54,57,87
19.01.10,2,39,66,76,86,87
19.01.12,16,33,36,62,73,88
19.01.15,8,43,51,56,57,87
19.01.17,21,26,33,35,63,89
19.01.19,1,15,45,48,60,80
19.01.22,3,22,79,82,83,88
19.01.24,3,19,40,49,60,82
19.01.26,17,19,62,72,78,82
19.01.29,6,11,29,65,87,90
19.01.31,4,21,59,63,65,83
19.02.02,37,42,52,80,86,88
19.02.05,11,21,34,46,50,86
19.02.07,9,26,27,49,54,76
19.02.09,5,26,43,52,63,90
19.02.12,14,28,64,69,84,90
19.02.14,4,30,47,76,78,83
19.02.16,10,17,42,59,61,80
19.02.19,15,16,32,63,67,70
19.02.21,11,16,43,59,87,90
19.02.23,5,31,47,60,68,88
19.02.26,13,25,27,52,66,75
19.02.28,2,11,50,55,79,85
19.03.02,19,34,37,40,66,69
19.03.05,3,6,16,36,56,82
19.03.07,8,42,51,62,80,84
19.03.09,9,15,51,70,78,86
19.03.12,13,37,58,66,67,88
19.03.14,27,28,42,63,78,86
19.03.16,49,61,63,77,87,88
19.03.19,12,15,38,43,56,85
19.03.21,27,32,52,59,69,90
19.03.23,21,32,43,63,83,90
19.03.26,14,27,45,47,52,84
19.03.28,43,53,58,68,83,90
19.03.30,1,10,20,28,47,55
19.04.02,19,25,30,32,37,60
19.04.04,7,29,38,49,66,70
19.04.06,41,54,85,87,88,89
19.04.09,1,13,28,33,37,65
19.04.11,5,10,52,60,85,88
19.04.13,16,22,30,40,51,77
19.04.16,15,55,58,62,82,90
19.04.18,7,10,46,47,73,89
19.04.20,5,18,76,87,88,89
19.04.23,19,20,32,51,63,79
19.04.27,6,17,18,42,64,71
19.04.29,8,22,61,65,69,74
19.04.30,13,29,31,51,55,72
19.05.02,1,28,57,75,82,83
19.05.04,4,15,41,52,76,85
19.05.07,5,8,21,49,66,90
19.05.09,3,17,26,38,54,82
19.05.11,9,20,47,58,65,78
19.05.14,37,59,69,75,89,90
19.05.16,11,25,37,67,75,85
19.05.18,31,33,44,57,62,65
19.05.21,20,38,76,82,84,87
19.05.23,2,8,15,32,72,79
19.05.25,33,51,53,59,66,68
19.05.28,8,30,33,58,84,89
19.05.30,16,33,59,65,69,73
19.06.01,17,19,24,46,48,72
19.06.04,15,49,63,79,85,86
19.06.06,2,15,47,54,78,79
19.06.08,15,16,54,64,66,72
19.06.11,16,25,36,46,48,58
19.06.13,11,22,23,26,32,77
19.06.15,4,23,43,47,74,82
19.06.18,13,23,63,67,68,81
19.06.20,25,26,35,42,65,76
19.06.22,35,39,41,69,70,74
19.06.25,14,43,61,62,75,85
19.06.27,33,34,37,50,68,82
19.06.29,6,22,33,45,60,81
19.07.02,13,18,37,48,63,67
19.07.04,40,42,57,64,80,86
19.07.06,6,12,22,25,29,62
19.07.09,1,20,26,54,59,74
19.07.11,15,26,32,48,66,84
19.07.13,3,13,15,36,42,90
19.07.16,30,47,48,60,67,90
19.07.18,12,22,37,40,51,68
19.07.20,2,23,29,51,79,84
19.07.23,18,32,34,55,74,79
19.07.25,7,20,28,36,55,69
19.07.27,13,33,40,61,78,80
19.07.30,6,8,16,42,84,87
19.08.01,20,30,37,52,82,83
19.08.03,6,16,21,27,33,66
19.08.06,20,22,27,43,46,72
19.08.08,6,10,24,63,66,89
19.08.10,10,15,42,57,68,80
19.08.13,7,32,41,59,75,76
19.08.17,8,13,31,37,39,46
19.08.19,17,28,57,66,67,71
19.08.20,20,35,40,41,79,88
19.08.22,1,12,24,42,65,67
19.08.24,20,36,40,42,63,86
19.08.27,4,15,34,37,47,73
19.08.29,21,37,45,53,83,84
19.08.31,31,35,52,59,60,75
19.09.03,18,29,39,58,59,76
19.09.05,7,26,31,34,52,54
19.09.07,9,29,43,66,70,84
19.09.10,15,16,21,49,50,83
19.09.12,12,17,20,62,80,88
19.09.14,1,7,10,40,52,59
19.09.17,9,18,26,43,60,79
19.09.19,38,50,53,56,65,76
19.09.21,31,36,44,47,50,56
19.09.24,7,45,55,60,81,89
19.09.26,17,20,42,44,83,90
19.09.28,37,49,66,75,77,82
19.10.01,11,59,63,73,84,89
19.10.03,4,5,31,35,46,80
19.10.05,20,38,52,58,68,72
19.10.08,25,35,47,70,79,87
19.10.10,9,12,29,42,65,75
19.10.12,5,33,40,45,79,90
19.10.15,5,38,45,54,59,65
19.10.17,10,29,33,55,65,72
19.10.19,15,30,75,76,77,79
19.10.22,9,28,40,77,79,81
19.10.24,18,51,53,57,82,87
19.10.26,8,12,13,14,51,83
19.10.29,21,32,47,61,67,68
19.10.31,35,41,53,60,65,80
19.11.02,10,19,30,68,78,80
19.11.05,32,56,64,65,87,90
19.11.07,4,9,37,48,49,77
19.11.09,1,21,43,51,81,88
19.11.12,14,15,51,55,61,73
19.11.14,33,52,57,72,76,81
19.11.16,7,29,31,58,65,86
19.11.19,19,26,56,74,77,82
19.11.21,23,29,35,50,57,60
19.11.23,12,29,52,61,72,79
19.11.26,21,22,35,63,76,79
19.11.28,7,16,17,50,52,74
19.11.30,2,21,47,52,66,77
19.12.03,4,5,8,22,48,83
19.12.05,16,25,52,59,64,74
19.12.07,11,21,44,67,77,80
19.12.10,11,37,40,42,58,82
19.12.12,11,25,39,48,51,71
19.12.14,8,10,43,52,60,83
19.12.17,4,8,37,44,86,88
19.12.19,3,14,25,43,74,80
19.12.21,9,28,36,50,66,90
19.12.23,17,30,45,56,87,89
19.12.24,44,48,55,67,82,90
19.12.28,3,8,16,28,42,65
19.12.31,3,32,36,43,62,80
20.01.02,5,45,63,64,78,85
20.01.04,23,30,37,44,57,80
20.01.07,2,23,60,66,72,78
20.01.09,5,14,54,55,66,78
20.01.11,34,36,38,63,72,81
20.01.14,1,6,9,32,68,85
20.01.16,22,29,50,53,72,83
20.01.18,26,28,32,50,79,87
20.01.21,6,32,46,53,70,75
20.01.23,15,20,23,69,72,81
20.01.25,11,16,17,35,68,90
20.01.28,16,21,33,50,57,89
20.01.30,8,46,53,62,77,84
20.02.01,22,25,45,46,48,88
20.02.04,21,29,34,64,72,79
20.02.06,3,20,29,49,65,82
20.02.08,15,32,54,56,61,85
20.02.11,16,24,45,68,72,81
20.02.13,4,15,43,69,74,84
20.02.15,13,26,40,55,65,86
20.02.18,26,45,58,69,72,82
20.02.20,20,36,55,69,80,85
20.02.22,1,28,57,58,60,68
20.02.25,10,15,23,54,73,74
20.02.27,17,51,60,71,75,79
20.02.29,9,35,44,50,73,78
20.03.03,5,11,19,26,36,64
20.03.05,13,40,48,67,69,85
20.03.07,11,13,31,41,85,87
20.03.10,8,35,41,43,57,80
20.03.12,19,22,41,46,56,86
20.03.14,1,13,18,47,68,75
20.03.17,17,29,30,49,63,65
20.03.19,7,11,17,28,29,50
20.03.21,5,13,38,39,52,59
20.05.05,39,43,58,73,83,86
20.05.07,22,35,45,52,57,75
20.05.09,34,45,59,66,70,78
20.05.12,21,38,55,60,65,85
20.05.14,12,17,20,54,61,80
20.05.16,2,7,71,78,84,87
20.05.19,26,41,51,62,66,85
20.05.21,3,21,44,69,73,81
20.05.23,5,15,61,75,82,86
20.05.26,10,23,27,46,68,74
20.05.28,16,29,31,73,76,82
20.05.30,3,27,46,52,70,74
20.06.01,9,28,49,65,76,81
20.06.04,5,16,23,30,40,71
20.06.06,4,21,37,45,50,79
20.06.09,8,14,30,58,71,87
20.06.11,1,7,23,47,68,69
20.06.13,20,42,53,57,62,73
20.06.16,1,11,39,59,68,74
20.06.18,4,6,15,35,67,73
20.06.20,16,29,39,55,63,86
20.06.23,40,44,52,59,66,69
20.06.25,14,35,41,51,84,85
20.06.27,13,33,35,60,78,81
20.06.30,6,7,57,61,79,89
20.07.02,12,33,42,56,78,79
20.07.04,33,38,46,59,65,73
20.07.07,16,24,29,53,73,88
20.07.09,1,10,26,40,64,88
20.07.11,6,10,19,20,40,67
20.07.14,17,35,70,71,74,82
20.07.16,35,39,40,64,67,75
20.07.18,18,33,49,76,80,84
20.07.21,4,34,46,54,55,62
20.07.23,10,29,37,49,56,57
20.07.25,18,30,42,70,78,80
20.07.28,23,45,49,71,80,82
20.07.30,4,15,19,26,28,55
20.08.01,4,14,17,18,26,45
20.08.04,5,19,21,25,45,82
20.08.06,21,37,40,46,69,80
20.08.08,6,16,22,55,58,83
20.08.11,7,9,38,68,78,80
20.08.13,4,5,49,57,66,75
20.08.17,5,9,26,62,77,79
20.08.18,13,22,28,58,65,77
20.08.20,7,17,30,39,41,67
20.08.22,7,12,45,47,73,87
20.08.25,15,24,31,70,83,84
20.08.27,37,49,52,53,75,87
20.08.29,1,3,35,42,55,61
20.09.01,10,22,28,45,48,71
20.09.03,16,17,38,39,68,84
20.09.05,7,14,27,56,72,83
20.09.08,23,27,28,31,69,89
20.09.10,46,48,67,78,80,87
20.09.12,6,15,36,42,67,78
20.09.15,2,9,44,47,52,54
20.09.17,9,29,35,47,53,85
20.09.19,6,12,14,27,39,73
20.09.22,4,15,37,48,55,69
20.09.24,10,13,28,77,86,89
20.09.26,4,16,38,70,86,88
20.09.29,25,33,53,76,81,90
20.10.01,7,31,38,52,61,75
20.10.03,5,17,59,61,70,79
20.10.06,8,55,67,73,74,89
20.10.08,8,35,51,60,63,75
20.10.10,12,15,19,24,46,73
20.10.13,47,56,58,60,79,85
20.10.15,29,38,47,61,68,86
20.10.17,24,28,34,55,62,87
20.10.20,24,29,36,43,50,51
20.10.22,1,16,21,36,37,43
20.10.24,17,19,28,41,49,86
20.10.27,19,26,49,53,55,77
20.10.29,9,32,41,43,44,84
20.10.31,22,31,35,40,65,82
20.11.03,18,39,45,48,53,64
20.11.05,5,10,18,24,69,85
20.11.07,1,2,61,69,70,82
20.11.10,13,34,38,41,76,88
20.11.12,13,35,37,58,60,88
20.11.14,3,30,47,67,68,89
20.11.17,7,18,20,32,45,55
20.11.19,6,13,47,49,69,86
20.11.21,6,24,37,55,76,82
20.11.24,9,15,16,23,57,76
20.11.26,2,9,39,52,67,76
20.11.28,12,29,61,81,87,90
20.12.01,21,30,32,62,78,80
20.12.03,22,33,43,48,87,89
20.12.05,26,32,39,40,57,65
20.12.07,1,6,20,25,70,90
20.12.10,1,6,25,42,75,80
20.12.12,11,14,18,59,64,85
20.12.15,10,16,47,51,80,85
20.12.17,5,9,12,14,26,37
20.12.19,36,39,45,50,62,66
20.12.22,15,16,22,46,51,72
20.12.24,22,25,31,79,87,90
20.12.28,8,25,39,54,59,84
20.12.29,15,22,38,51,60,74
20.12.31,7,14,20,66,68,79
21.01.02,35,37,50,75,77,81
21.01.05,12,19,30,60,71,78
21.01.07,15,33,48,49,56,88
21.01.09,14,16,35,47,58,64
21.01.12,5,19,21,33,61,90
21.01.14,24,50,53,54,62,88
21.01.16,9,26,57,66,81,83
21.01.19,2,27,28,38,43,65
21.01.21,15,17,38,40,45,65
21.01.23,3,19,27,35,63,89
21.01.26,34,39,45,51,60,89
21.01.28,18,29,40,44,46,53
21.01.30,27,35,42,48,56,65
21.02.02,28,41,54,67,78,86
21.02.04,5,19,27,35,40,82
21.02.06,36,49,50,61,66,76
21.02.09,7,8,19,33,40,48
21.02.11,5,34,47,60,69,70
21.02.13,36,39,46,58,63,77
21.02.16,9,19,30,52,61,76
21.02.18,28,52,56,62,66,72
21.02.20,3,18,25,31,65,75
21.02.23,7,37,42,57,59,87
21.02.25,13,26,42,71,72,73
21.02.27,10,37,42,69,72,86
21.03.02,3,32,39,56,77,89
21.03.04,2,4,13,45,51,77
21.03.06,4,36,43,61,72,89
21.03.09,8,15,20,52,54,72
21.03.11,9,31,51,68,84,90
21.03.13,28,29,43,59,70,79
21.03.16,28,43,48,65,84,89
21.03.18,11,38,51,58,62,63
21.03.20,6,10,57,71,74,83
21.03.23,2,11,13,45,66,72
21.03.25,15,28,30,52,75,86
21.03.27,16,19,41,72,78,82
21.03.30,10,25,41,58,78,87
21.04.01,22,37,57,62,83,90
21.04.03,1,39,53,60,75,76
21.04.06,7,27,73,77,78,89
21.04.08,19,29,35,49,66,81
21.04.10,9,27,67,80,87,89
21.04.13,1,36,48,63,68,87
21.04.15,12,33,44,71,72,80
21.04.17,7,20,63,68,74,88
21.04.20,1,32,48,58,68,75
21.04.22,8,11,46,47,72,81
21.04.24,10,20,21,29,34,44
21.04.27,41,49,56,58,60,68
21.04.29,14,62,64,66,76,87
21.05.03,15,18,40,43,57,72
21.05.04,6,43,48,60,75,85
21.05.06,5,28,38,55,79,89
21.05.08,37,38,44,45,60,65
21.05.11,23,30,50,59,60,83
21.05.13,4,13,20,51,69,82
21.05.15,15,36,49,59,60,62
21.05.18,10,11,15,19,47,78
21.05.20,27,31,36,39,46,67
21.05.22,1,7,37,43,63,81
21.05.25,5,39,45,49,59,71
21.05.27,24,38,81,86,88,89
21.05.29,23,31,62,71,74,77
21.06.01,9,21,27,41,45,53
21.06.03,17,27,40,72,86,87
21.06.05,53,73,75,83,84,85
21.06.08,2,9,11,72,76,86
21.06.10,27,37,42,44,76,83
21.06.12,2,9,27,54,69,78
21.06.15,10,14,25,43,54,65
21.06.17,20,33,39,42,43,78
21.06.19,1,3,41,55,84,85
21.06.22,30,51,56,59,65,68
21.06.24,40,43,56,59,63,88
21.06.26,28,39,44,57,61,88
21.06.29,10,30,52,53,66,87
21.07.01,8,11,44,86,88,89
21.07.03,42,45,52,65,70,85
21.07.06,11,15,20,40,69,73
21.07.08,21,24,25,61,73,74
21.07.10,8,13,16,27,32,62
21.07.13,58,68,70,74,76,89
21.07.15,2,25,37,54,57,87
21.07.17,6,37,64,71,85,87
21.07.20,28,34,49,65,79,90
21.07.22,1,6,10,61,63,64
21.07.24,21,25,40,50,71,87
21.07.27,1,6,24,36,82,83
21.07.29,3,14,21,31,84,89
21.07.31,14,22,36,47,59,61
21.08.03,14,55,65,68,78,88
21.08.05,28,37,41,44,52,84
21.08.07,1,7,34,37,45,49
21.08.10,14,16,47,49,53,56
21.08.12,17,55,59,61,62,90
21.08.14,53,64,72,74,87,89
21.08.17,2,3,10,38,64,70
21.08.19,3,4,31,80,81,87
21.08.21,8,19,35,59,86,90
21.08.24,12,27,43,48,63,66
21.08.26,17,21,32,40,55,76
21.08.28,44,54,56,63,76,77
21.08.31,3,5,10,44,76,77
21.09.02,5,15,39,72,76,80
21.09.04,7,60,68,71,79,80
21.09.07,7,20,21,31,67,89
21.09.09,6,58,64,73,76,86
21.09.11,1,30,36,49,75,85
21.09.14,3,14,42,52,69,81
21.09.16,12,16,40,46,47,83
21.09.18,22,56,60,73,76,80
21.09.21,5,6,29,59,68,74
21.09.23,8,21,38,42,49,51
21.09.25,11,19,61,62,75,76
21.09.28,14,18,19,33,34,80
21.09.30,7,32,33,36,45,47
21.10.02,9,19,40,62,67,71
21.10.05,21,40,62,66,73,85
21.10.07,15,18,22,26,66,77
21.10.09,7,9,70,72,77,86
21.10.12,46,53,55,60,64,90
21.10.14,8,14,25,59,60,88
21.10.16,32,41,50,57,67,89
21.10.19,21,28,38,42,66,88
21.10.21,9,10,26,27,77,86
21.10.23,1,11,12,15,20,83
21.10.26,20,24,25,49,57,68
21.10.28,2,25,34,67,73,77
21.10.30,20,31,41,43,48,79
21.11.02,22,27,51,55,77,86
21.11.04,22,25,38,41,61,68
21.11.06,6,21,56,63,81,85
21.11.09,3,6,14,17,54,60
21.11.11,4,23,52,65,79,88
21.11.13,13,40,60,66,73,75
21.11.16,7,17,19,38,66,71
21.11.18,22,24,38,42,44,87
21.11.20,7,48,58,60,86,87
21.11.23,6,17,23,24,43,72
21.11.25,6,45,61,82,84,88
21.11.27,24,30,38,47,48,78
21.11.30,11,34,44,64,75,82
21.12.02,15,24,48,60,70,89
21.12.04,37,43,68,72,76,85
21.12.07,9,12,23,38,59,88
21.12.09,10,48,70,75,79,83
21.12.11,7,17,45,64,76,81
21.12.14,35,59,64,65,68,73
21.12.16,12,35,37,41,75,76
21.12.18,6,31,44,57,73,77
21.12.21,30,49,61,62,79,87
21.12.23,11,15,17,37,54,89
21.12.27,6,10,11,41,61,80
21.12.28,13,19,47,70,77,83
21.12.30,10,20,40,55,68,86
